link,option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59642,29811
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59642,29810
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59642,29803
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59649,29917
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29982
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29980
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29979
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29978
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29976
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29973
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29972
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29966
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29965
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29964
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29924
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652,29922
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59658,29989
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59658,29985
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59658,29984
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30083
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30031
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30030
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30029
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30025
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659,30022
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30256
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30188
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30187
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30140
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30137
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30133
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30132
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30127
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660,30094
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30374
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30373
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30372
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30370
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30369
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30356
