link,id_option,nome_option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29371,"PLP 039/20 - DTQ 21 - PODEMOS - destaque para votação em separado da emenda nº 113 apresentada ao PLP 39/2020. (161, II) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29370,"PLP 039/20 - DTQ 2 - PT - destaque para votação em separado do art. 8º constante do PLP 39/2020 (art. 161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29368,"PLP 039/20 - DTQ 4 - PSB - votação em separado do art. 7º do PLP 39/20, para sua supressão (art. 161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29367,"PLP 039/20 - DTQ 13 - NOVO- destaque para votação em separado da expressão ""taxa de"" constante do inciso I, do §1º, do art. 5º do PLP 39/20, com vistas à sua supressão. (161, I) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29366,"PLP39/20 - Votação do PLP 39/20, ressalvados os destaques (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29405,PEC 10/2020 - DTQ 2 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29404,PEC 10/2020 DTQ 5 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29403,PEC 10/2020 DTQ 1 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29381,PEC 10/2020 (Fase 2 - CD) - (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29485,MPV 915/2019 - Ret. pauta (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29483,PL 2294/2020 - Vot. partes
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29463,MPV 915/2019 - DTQ 12
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29461,MPV 915/2019 - DTQ 5
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29456,MPV 915/2019 - DTQ 11
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29455,MPV 915/2019 - DTQ 7
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29454,MPV 915/2019 - DTQ 8
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29452,MPV 915/2019 - DTQ 10
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59612,29503,MPV 909/19 - Votação do Parecer da Comissão Mista pelo Atendimento dos Pressupostos Constitucionais
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59613,29557,MPV 910/19 - Requerimento de Retirada de Pauta (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59613,29530,MPV 910/19 - Requerimento de Retirada de Pauta - PSB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29613,PL 1179/2020 - DTQ 10 - PSB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29612,PL 1179/2020 - DTQ 9 - PSB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29611,PL 1179/2020 - DTQ 8 - PSC
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29607,PL 1179/2020 - DTQ 3 - PSOL
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29600,PL 1179/2020 - DTQ 2 - NOVO (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29593,PL 1.179/2020 - Substitutivo ao PL nº 1.179/2020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29660,PL 1562/2020 - DTQ 10
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29649,PL 1562/2020 - DTQ 9 - PCdoB
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29648,PL 1194/2020 - DTQ 3 PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29643,PL 1562/2020 - DTQ 8 - PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29642,PL 1562/2020 - DTQ 7 - PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29641,PL 1562/2020 - DTQ 6 - PT
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29640,PL 1.562/2020 - DTQ 5 - PATRIOTA
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29639,PL 1194/2020 -
